標題,摘要
高科大、金屬中心、日本八戶工業大學  三方合作備忘錄再繫台日友誼,"日本八戶工業大學本月12日與國立高雄科技大學、財團法人金屬工業研究發展中心，共同簽署三方合作備忘錄。三方分別在工業學術研究、建築工程、海事領域等擁有專長優勢，COVID-19疫情並沒有澆熄合作的熱情，當天交流互動熱烈。
由日本青森縣知事三村申吾見證，八戶工業大學校長坂本禎智、財團法人金屬工業研究發展中心董事長林仁益與高科大校長楊慶煜，分別代表三方簽署。三村申吾表示，日本青森縣也和台灣許多縣市一樣面臨人才流失及老化等問題，而高雄市與青森縣八戶市同為港口型工業城市，為提高當地人才培育及就業，期望透...
"
疫後參賽創高峰  高科大土木系抗震作戰重啟食材橋梁賽,"從2005年起連續第18年舉辦的高科大土木系抗震大作戰，已經成為國內土木營建相關科系的重要年度競賽，今(10)日在國立高雄科技大學建工校區舉行，競賽分為三類：抗震、橋梁、微電影，其中橋梁設計競賽，重啟早期的「食材橋梁」競賽，激發非常多學生創意，很有看頭。最後抗震競賽由臺中高工的關東煮炒泡麵隊奪下第一名；國立秀水高工拜託是要怎麼做隊贏得橋梁變變變最佳創意獎，國立興大附農贏得橋梁變變變最佳解說獎。
抗震大作戰除了是高科大土木系校友重視的一項傳統，也是國內高中職學生的年度重要賽事，恰逢明年土木系迎接...
"
教育部USR EXPO松菸落幕  高科大多元服務議題成焦點,"教育部USR計畫(大學社會責任實踐計畫)第二期已進入尾聲，今年在台北松菸舉辦2022 USR EXPO，國立高雄科技大學一共五組USR計畫團隊共同參展，分別以海洋、漁業、教育、農業、生態、環保、居住安全、地方創生等永續發展議題，展現高科大在多元永續議題上的回饋能量，特別將其專業能量集中協助南台灣，針對區域性發展的議題做綜合性的解決方案，展現善盡社會責任與落實永續發展的使命感。
高科大將各類計畫資源導入課程，帶領師生走出校園進入社區，將課堂知識轉化為場域內可被具體化、被實地應用的解決方案，也幫助...
"
高科大續辦第二屆全國高中職專題實作  主題多元且深具發展潛力,"國立高雄科技大學為落實培養技術型高中素養，自2021年起辦理「科大共同指導高中職生專題實作成果展覽評比」，以提供科大師資以及設備教材等資源，架起技專與技高之橋樑，結合教研能量和系所特色，與高中職學校教師共同指導，協助技高發展專題實作能量與推展創新創意思考力。今(2022)年邁入第二屆，較去年規模擴大至5所科大及14所技高校共44隊伍參賽，總人數多達224人，其中有18位離島師生遠從澎湖及金門前來共襄盛舉。
高科大副校長謝淑玲指出，為強化技職教育與產業趨勢接軌，本屆專題評委特別邀請到台達電子黃群...
"
歡慶五週年校慶  高科大學生挑大樑獨當一面,"國立高雄科技大學併校五週年，逐漸發展出鮮明的辦學特色，從11月份起接續多場系列活動，均由學生挑大樑，展現出五年時間逐漸培養出學生的獨特氣質。昨(2)日高科大依循傳統於校慶前一日舉辦校慶音樂會，邀請到長榮交響樂團演出，並安排高科大管樂團共同演出部分曲目；接著在今天的校慶慶祝大會上，首次嘗試全場音樂劇型態，全劇由在校同學擔綱出，創下新的里程，呼應今年校慶「定心｜共舞」的主軸，全校合力定錨未來發展。
校長楊慶煜在校慶致詞上回顧高科大五年的成長，包括在校務運作方面，大量導入資訊系統、累績數據資料、實現...
"
高科大攜手泓格科技股份有限公司成立「物聯網資訊安全研究中心」培育未來設備與資安人才,"國內知名工控企業「泓格科技股份有限公司」於10月31日與國立高雄科技大學電子工程系在國科會資料治理與數位轉型產學聯盟的媒合下共同成立「物聯網資訊安全研究中心」，將致力於工控設備與環境的資安檢測技術研發，以符合目前國內產業對於資訊安全技術以及產品服務的殷殷期待，攜手研究未來的產業所需檢測技術。

泓格科技公司趙英傑處長指出：泓格科技長期關注南部製造業自動化技術的需求，提供客戶高效安全的解決方案。但隨著智慧製造、物聯網的趨勢發展，越來越多物聯網的生產設備暴露在網路威脅當中。國際標準組織ISO今年已經發...
"
教育部U-start創新創業計畫  2022年高科大再獲冠軍,"2022年度教育部青年發展署U-start創新創業計畫，首獎獎落國立高雄科技大學，「恩典海洋生物科技企業社」擊敗全國大專校院創業團隊拿下首獎90萬元創業獎金，原住民組的U-start原漾計畫，也由高科大輔導的布農族團隊「馬舒霍爾的禮物」獲得季軍80萬元獎金。這是繼2020年第一屆U-start原漾計畫高科大團隊贏得金牌後，第二次獲獎，「馬舒霍爾的禮物」為傳承布農族的藤編文化，以籐編包裝結合團隊烘培專業的創業計畫，深獲評審肯定。
今年的首獎團隊「恩典海洋生物科技企業社」，全部成員均來自高科大水產...
"
陽明海運捐贈最新型航海模擬機  與高科大共創三贏,"航行全球的台灣船隊，需要大量的專業航海人才投入產業，國立高雄科技大學身為國內少數可全面性培養海事人才的高等教育學府，一直是國內航商的重點合作學校。陽明海運捐贈高科大一套Wärtsilä生產的最新型操船模擬設備，高科大今(21)日在旗津校區舉行受贈、啟用儀式，特地將操船模擬設備裝置的教室命名為「陽明學苑」，未來不僅可嘉惠正規教育的訓練，也有助於海事人員訓練的進行。
高科大校長楊慶煜代表受贈，特別感謝陽明海運董事長鄭貞茂在2020年參訪高科大時，允諾充實教育單位的訓練設備，並在今(2022)年實現...
"
高科大主辦第十七屆全國高中職太陽能模型車競賽 疫情復甦再戰澳洲國際賽奪冠,"由國立高雄科技大學主辦的全國高中職太陽能模型車競賽，舉辦至今連續17年，今(2022)年第17屆全國競賽已於暑假順利結束，因全球受新冠肺炎COVID-19疫情影響，國際賽事停擺，睽違三年再次遠征澳洲國際賽，我國出賽代表隊有高英工商GTC-The Revengers、GTC-逐日千里及大興高中-Captain Planet三隊。最後由高英工商-GTC-The Revenger代表隊拿下冠軍，台灣代表隊囊括國際賽前三名，成績斐然。太陽能模型車競賽自2006年辦理以來，進幾年參加國際賽，台灣代表隊已成...
"
高科大營建系義築團隊 重現原民傳統芋頭窯文化,"由國立高雄科技大學營建工程系、資訊管理系、工業設計系、文化創意產業系及社會責任辦公室共同執行的教育部USR計畫「安居桃花源．港都山線韌性城鄉營建計畫」（2020-2022），以「永續環境－災害防治教育」為核心主軸，將學術端的能量導入高雄偏鄉社區，並與社區合作，以落實兩項聯合國永續發展目標：居住安全、環境永續。
2022年的計劃主題為「永續食農教育」；計劃團隊稟持「賦權社區」的精神，與高雄市茂林區的社區組織和茂林國小師生共同討論後，決定重現魯凱族消失已久的「芋頭窯」傳統工藝，創生「原民芋頭窯燒&...
"
高科大主辦智慧機器人大賽十年有成  今年國際賽成績亮眼,"由國立高雄科技大學主辦的國際智慧機器人運動大賽，舉辦至今超過十年，今(2022)年參賽規模超過500位選手、來自2002個團隊，學生自製的機器人不但會射箭、投籃、舉重，還可以來回快跑，甚至跑馬拉松，機器人格鬥賽事更是精彩，吸引全場目光。同場地，高科大也協助舉辦本年度的FIRA 2022 SimulCup的Taiwan Hub，包括台師大、高科大、淡江大學等6校隊伍報名參賽，台師大拿下HuroCup Adult size冠軍、淡江大學拿下HuroCup Kid Size，成績斐然。計畫主持人、高科...
"
金屬材料暨加工設備展  高科大發表創新模具技術,"金屬加工技術是眾多工業製程的基礎關鍵，疫情過後產業展覽逐步回到正常步調，本週在高雄展覽館登場的「IMT台灣金屬材料暨精密加工設備展」，昨(21)日在展覽最後一天，由國立高雄科技大學模具系整合產學資源，辦理協易盃伺服沖壓製程設計與CAE模擬分析競賽頒獎及發表，展現台灣在高端金屬材料成形的技術潛力。
高科大模具系與中鋼公司合作成立鍛造輥軋中心已長達6年時間，高科大也因應成立「連續輥軋智慧成形技術聯盟」，服務將近30家企業會員，協助企業因應高階製程的發展需求。今年與協易機械連續第2年合作舉辦協易盃競...
"
